RentTopia	Арендуйте уютные апартаменты с великолепным видом на пляж.	Cologne	preview-house.jpg	big-house-1.jpg;big-house-2.jpg;big-house-3.jpg;big-house-4.jpg;big-house-5.jpg;big-house-6.jpg	true	apartment	1	10	3	Fridge	Иван Иванов	president@dka.local	awesome-avatar.jpg	12345r	pro	50.938361;6.959974
Уютный уголок	Арендуйте уютные апартаменты с великолепным видом на пляж.	Paris	preview-apartments-3.jpg	small-apartments-1.jpg;small-apartments-2.jpg;small-apartments-3.jpg;small-apartments-4.jpg;small-apartments-5.jpg;small-apartments-6.jpg	false	apartment	6	5	3	Breakfast;Air conditioning;Laptop friendly workspace;Baby seat;Washer	Роланд Дискейн	snow@pisem.local	smite.jpg	12345r	regular	48.85661;2.351499
ТвойАрендатор	Аренда жилья рядом с парком. Уютные квартиры с видом на зеленый массив для вашего комфорта.	Amsterdam	preview-house-1.jpg	small-apartments-1.jpg;small-apartments-2.jpg;small-apartments-3.jpg;small-apartments-4.jpg;small-apartments-5.jpg;small-apartments-6.jpg	true	room	3	3	3	Fridge	Роланд Дискейн	president@dka.local	user.jpg	12345r	pro	52.370216;4.895168
Уютный уголок	Арендуйте уютные апартаменты с великолепным видом на пляж.	Amsterdam	preview-apartments.jpg	apartments-1.jpg;apartments-2.jpg;apartments-3.jpg;apartments-4.jpg;apartments-5.jpg;apartments-6.jpg	false	room	3	9	7	Washer;Towels;Fridge	Пьер Безухов	fish@big.local	smite.jpg	1234	regular	52.370216;4.895168
ТвойАрендатор	Сдаем просторный дом с садом и крытой верандой.	Cologne	preview-apartments-3.jpg	big-house-1.jpg;big-house-2.jpg;big-house-3.jpg;big-house-4.jpg;big-house-5.jpg;big-house-6.jpg	false	room	2	9	5	Baby seat;Washer;Towels	Роланд Дискейн	test@pisem.local	user.jpg	12we	pro	50.938361;6.959974
RentTopia	Арендуйте уютные апартаменты с великолепным видом на пляж.	Amsterdam	preview-apartments-2.jpg	small-apartments-1.jpg;small-apartments-2.jpg;small-apartments-3.jpg;small-apartments-4.jpg;small-apartments-5.jpg;small-apartments-6.jpg	true	house	5	8	7	Laptop friendly workspace;Baby seat;Washer;Towels	Роланд Дискейн	president@dka.local	photo.jpg	1234	pro	52.370216;4.895168
RentTopia	Арендуйте уютные апартаменты с великолепным видом на пляж.	Brussels	preview-house-1.jpg	apartments-1.jpg;apartments-2.jpg;apartments-3.jpg;apartments-4.jpg;apartments-5.jpg;apartments-6.jpg	true	house	3	1	7	Fridge	Роланд Дискейн	snow@pisem.local	photo.jpg	12345r	regular	50.846557;4.351697
ТвойАрендатор	Уютная квартира рядом с парком ждет вас!	Hamburg	preview-apartments-2.jpg	house-1.jpg;house-2.jpg;house-3.jpg;house-4.jpg;house-5.jpg;house-6.jpg	true	house	5	8	3	Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Роланд Дискейн	president@dka.local	user.jpg	12we	regular	53.550341;10.000654
Уютный уголок	Арендуйте уютные апартаменты с великолепным видом на пляж.	Amsterdam	preview-house-1.jpg	big-house-1.jpg;big-house-2.jpg;big-house-3.jpg;big-house-4.jpg;big-house-5.jpg;big-house-6.jpg	true	hotel	1	4	4	Washer;Towels;Fridge	Олег Сидоров	snow@pisem.local	photo.jpg	12we	regular	52.370216;4.895168
Уютный уголок	Просторная комната с видом на город сдается.	Cologne	preview-apartments-2.jpg	apartments-1.jpg;apartments-2.jpg;apartments-3.jpg;apartments-4.jpg;apartments-5.jpg;apartments-6.jpg	false	apartment	3	4	1	Breakfast;Air conditioning;Laptop friendly workspace;Baby seat;Washer;Towels	Олег Сидоров	freedom@pisem.local	awesome-avatar.jpg	askopl1	regular	50.938361;6.959974
